name,genre,director,star_1,star_2,star_3,star_4,description
Mamma Mia!,"Comedy, Musical, Romance",Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried,Stellan Skarsgård,"$694,476,782"
The Hunger Games,"Action, Adventure, Sci-Fi",Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci,"$694,394,724"
Tang ren jie tan an 3,"Action, Adventure, Comedy",Sicheng Chen,Baoqiang Wang,Haoran Liu,Satoshi Tsumabuki,Tony Jaa,"$686,257,563"
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",Christopher McQuarrie,Tom Cruise,Rebecca Ferguson,Jeremy Renner,Simon Pegg,"$682,716,636"
Forrest Gump,"Drama, Romance",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,"$678,226,465"
Doctor Strange,"Action, Adventure, Fantasy",Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong,"$677,796,076"
The Sixth Sense,"Drama, Mystery, Thriller",M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,"$672,806,432"
Man of Steel,"Action, Adventure, Sci-Fi",Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,"$668,045,518"
Ice Age: The Meltdown,"Animation, Adventure, Comedy",Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,Seann William Scott,"$667,094,506"
Kung Fu Panda 2,"Animation, Action, Adventure",Jennifer Yuh Nelson,Jack Black,Angelina Jolie,Jackie Chan,Dustin Hoffman,"$665,692,281"
Moana,"Animation, Adventure, Comedy",Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho,"$665,069,139"
Justice League,"Action, Adventure, Fantasy",Zack Snyder,Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller,"$657,926,987"
Big Hero 6,"Animation, Action, Adventure",Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,"$657,869,686"
Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Johnny Depp,"$654,855,901"
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,"$654,264,015"
Men in Black 3,"Action, Adventure, Comedy",Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,"$654,213,485"
Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,Christopher Lee,"$653,779,970"
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,"$653,428,261"
Thor: The Dark World,"Action, Adventure, Fantasy",Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård,"$644,783,140"
Sing,"Animation, Comedy, Family",Garth Jennings,Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,"$634,338,384"
Kung Fu Panda,"Animation, Action, Adventure",Mark Osborne,John Stevenson,Jack Black,Ian McShane,Angelina Jolie,"$632,083,197"
The Incredibles,"Animation, Action, Adventure",Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,"$631,607,053"
The Martian,"Adventure, Drama, Sci-Fi",Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,"$630,620,818"
Hancock,"Action, Drama, Fantasy",Peter Berg,Will Smith,Charlize Theron,Jason Bateman,Jae Head,"$629,443,428"
Chang jin hu zhi shui men qiao,"Action, Drama, History",Hark Tsui,Kaige Chen,Dante Lam,Jianxin Huang,Ju-chun Park,"$626,571,697"
Fast Five,"Action, Crime, Thriller",Justin Lin,Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster,"$626,137,675"
Iron Man 2,"Action, Sci-Fi",Jon Favreau,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle,"$623,933,331"
Ratatouille,"Animation, Adventure, Comedy",Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,"$623,726,085"
Ant-Man and the Wasp,"Action, Adventure, Comedy",Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,"$622,674,139"
How to Train Your Dragon 2,"Animation, Action, Adventure",Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,"$621,537,519"
Logan,"Action, Drama, Sci-Fi",James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"$619,179,950"
The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn,"$618,638,999"
Casino Royale,"Action, Adventure, Thriller",Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,"$616,505,162"
The Passion of the Christ,Drama,Mel Gibson,Jim Caviezel,Monica Bellucci,Maia Morgenstern,Christo Jivkov,"$612,054,506"
Life of Pi,"Adventure, Drama, Fantasy",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,"$609,016,565"
Transformers: The Last Knight,"Action, Adventure, Sci-Fi",Michael Bay,Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock,"$605,425,157"
Madagascar: Escape 2 Africa,"Animation, Adventure, Comedy",Eric Darnell,Tom McGrath,Ben Stiller,Chris Rock,David Schwimmer,"$603,900,354"
War of the Worlds,"Action, Adventure, Sci-Fi",Steven Spielberg,Tom Cruise,Dakota Fanning,Tim Robbins,Miranda Otto,"$603,873,119"
Tangled,"Animation, Adventure, Comedy",Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,"$592,462,816"
Ready Player One,"Action, Adventure, Sci-Fi",Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe,"$592,241,728"
Quantum of Solace,"Action, Adventure, Mystery",Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,Judi Dench,"$589,580,482"
Men in Black,"Action, Adventure, Comedy",Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,"$589,390,539"
The Croods,"Animation, Adventure, Comedy",Kirk DeMicco,Chris Sanders,Nicolas Cage,Ryan Reynolds,Emma Stone,"$587,235,983"
The Hangover Part II,Comedy,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,"$586,764,305"
Iron Man,"Action, Adventure, Sci-Fi",Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,"$585,796,247"
I Am Legend,"Action, Drama, Horror",Francis Lawrence,Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield,"$585,410,052"
"Monsters, Inc.","Animation, Adventure, Comedy",Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,"$579,707,738"
Hong hai xing dong,"Action, Drama, Thriller",Dante Lam,Yi Zhang,Johnny Huang,Hai-Qing,Jiang Du,"$579,330,426"
Night at the Museum,"Adventure, Comedy, Family",Shawn Levy,Ben Stiller,Carla Gugino,Ricky Gervais,Dick Van Dyke,"$574,481,229"
Fifty Shades of Grey,"Drama, Romance, Thriller",Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,"$569,651,467"
Kong: Skull Island,"Action, Adventure, Fantasy",Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly,"$566,652,812"
The Smurfs,"Animation, Adventure, Comedy",Raja Gosnell,Hank Azaria,Katy Perry,Jonathan Winters,Neil Patrick Harris,"$563,749,323"
Cars 2,"Animation, Adventure, Comedy",John Lasseter,Bradford Lewis,Owen Wilson,Larry the Cable Guy,Michael Caine,"$559,852,396"
King Kong,"Action, Adventure, Drama",Peter Jackson,Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,"$556,906,378"
Puss in Boots,"Animation, Adventure, Comedy",Chris Miller,Antonio Banderas,Salma Hayek,Zach Galifianakis,Billy Bob Thornton,"$554,987,477"
Mei ren yu,"Comedy, Drama, Fantasy",Stephen Chow,Chao Deng,Show Lo,Yuqi Zhang,Yun Lin,"$553,810,228"
Armageddon,"Action, Adventure, Sci-Fi",Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,"$553,709,788"
The Day After Tomorrow,"Action, Adventure, Sci-Fi",Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok,"$552,639,571"
Ted,Comedy,Seth MacFarlane,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Joel McHale,"$549,368,315"
American Sniper,"Action, Biography, Drama",Clint Eastwood,Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis,"$547,459,020"
Mission: Impossible II,"Action, Adventure, Thriller",John Woo,Tom Cruise,Dougray Scott,Thandiwe Newton,Ving Rhames,"$546,388,108"
Tang ren jie tan an 2,"Action, Comedy, Mystery",Sicheng Chen,Haoran Liu,Baoqiang Wang,Yang Xiao,Natasha Liu Bordizzo,"$544,185,156"
X-Men: Apocalypse,"Action, Adventure, Sci-Fi",Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,"$543,934,105"
Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery",Guy Ritchie,Robert Downey Jr.,Jude Law,Jared Harris,Rachel McAdams,"$543,848,418"
Despicable Me,"Animation, Adventure, Comedy",Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,"$543,157,985"
Cinderella,"Adventure, Drama, Family",Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,"$542,358,331"
Madagascar,"Animation, Adventure, Comedy",Eric Darnell,Tom McGrath,Chris Rock,Ben Stiller,David Schwimmer,"$542,063,846"
World War Z,"Action, Adventure, Horror",Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,"$540,455,876"
Brave,"Animation, Adventure, Comedy",Mark Andrews,Brenda Chapman,Steve Purcell,Kelly Macdonald,Billy Connolly,"$538,983,207"
The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"$538,375,067"
The Simpsons Movie,"Animation, Adventure, Comedy",David Silverman,Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith,"$536,414,293"
The Revenant,"Action, Adventure, Drama",Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,"$532,950,503"
The Meg,"Action, Horror, Sci-Fi",Jon Turteltaub,Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis,"$530,517,320"
Ralph Breaks the Internet,"Animation, Adventure, Comedy",Phil Johnston,Rich Moore,John C. Reilly,Sarah Silverman,Gal Gadot,"$529,323,962"
Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,"$528,583,774"
The Boss Baby,"Animation, Adventure, Comedy",Tom McGrath,Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Lisa Kudrow,"$527,965,936"
Dunkirk,"Action, Drama, History",Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,"$527,016,307"
The Grinch,"Animation, Comedy, Family",Yarrow Cheney,Scott Mosier,Benedict Cumberbatch,Cameron Seely,Rashida Jones,"$526,760,632"
Godzilla,"Action, Adventure, Sci-Fi",Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe,"$524,976,069"
How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",Dean DeBlois,Jay Baruchel,America Ferrera,F. Murray Abraham,Cate Blanchett,"$524,580,592"
Sherlock Holmes,"Action, Adventure, Mystery",Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,"$524,028,679"
Meet the Fockers,"Comedy, Romance",Jay Roach,Ben Stiller,Robert De Niro,Blythe Danner,Teri Polo,"$522,657,936"
WALL·E,"Animation, Adventure, Family",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,"$521,311,890"
Kung Fu Panda 3,"Animation, Action, Adventure",Alessandro Carloni,Jennifer Yuh Nelson,Jack Black,Bryan Cranston,Dustin Hoffman,"$521,170,825"
Terminator 2: Judgment Day,"Action, Sci-Fi",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,"$520,881,154"
Ant-Man,"Action, Comedy, Sci-Fi",Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly,"$519,311,965"
Venom: Let There Be Carnage,"Action, Sci-Fi, Thriller",Andy Serkis,Tom Hardy,Woody Harrelson,Michelle Williams,Naomie Harris,"$506,863,592"
Ghost,"Drama, Fantasy, Romance",Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,"$505,703,557"
Aladdin,"Animation, Adventure, Comedy",Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,"$504,050,219"
Gladiator,"Action, Adventure, Drama",Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"$503,162,313"
Rio 2,"Animation, Adventure, Comedy",Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,Jemaine Clement,Andy Garcia,"$498,781,117"
Troy,Drama,Wolfgang Petersen,Brad Pitt,Eric Bana,Orlando Bloom,Julian Glover,"$497,409,852"
Toy Story 2,"Animation, Adventure, Comedy",John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,"$497,375,381"
