name,genre,director,star_1,star_2,star_3,star_4,description
Wo bu shi yao shen,"Comedy, Drama",Muye Wen,Zheng Xu,Yiwei Zhou,Chuan-jun Wang,Zhuo Tan,"$451,183,391"
Ocean's Eleven,"Crime, Thriller",Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon,"$450,717,150"
Wo he wo de zu guo,"Drama, History",Kaige Chen,Hu Guan,Hao Ning,Muye Wen,Zheng Xu,"$450,064,993"
Thor,"Action, Fantasy",Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,"$449,326,618"
Pearl Harbor,"Action, Drama, History",Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,William Lee Scott,"$449,220,945"
Tarzan,"Animation, Adventure, Comedy",Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,Brian Blessed,"$448,191,819"
Men in Black II,"Action, Adventure, Comedy",Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,Lara Flynn Boyle,"$445,135,288"
The Bourne Ultimatum,"Action, Mystery, Thriller",Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,"$444,100,035"
The Mummy Returns,"Action, Adventure, Fantasy",Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,"$443,280,904"
Alvin and the Chipmunks: The Squeakquel,"Animation, Adventure, Comedy",Betty Thomas,Jason Lee,Zachary Levi,David Cross,Justin Long,"$443,140,005"
Les Misérables,"Drama, Musical, Romance",Tom Hooper,Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,"$442,299,309"
The Exorcist,Horror,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,"$441,306,145"
Mrs. Doubtfire,"Comedy, Drama",Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,"$441,286,195"
Terminator Genisys,"Action, Adventure, Sci-Fi",Alan Taylor,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,"$440,603,537"
Warcraft,"Action, Adventure, Fantasy",Duncan Jones,Travis Fimmel,Paula Patton,Ben Foster,Dominic Cooper,"$439,048,914"
A Star Is Born,"Drama, Music, Romance",Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,"$436,233,122"
The Greatest Showman,"Biography, Drama, Musical",Michael Gracey,Hugh Jackman,Michelle Williams,Zac Efron,Zendaya,"$435,732,529"
Terminator 3: Rise of the Machines,"Action, Sci-Fi",Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,Kristanna Loken,Claire Danes,"$433,371,112"
Pokémon: Detective Pikachu,"Action, Adventure, Comedy",Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Bill Nighy,"$433,230,304"
Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",Destin Daniel Cretton,Simu Liu,Awkwafina,Tony Chiu-Wai Leung,Ben Kingsley,"$432,243,292"
Die Another Day,"Action, Adventure, Thriller",Lee Tamahori,Pierce Brosnan,Halle Berry,Rosamund Pike,Toby Stephens,"$431,971,116"
The Secret Life of Pets 2,"Animation, Adventure, Comedy",Chris Renaud,Jonathan del Val,Patton Oswalt,Kevin Hart,Harrison Ford,"$431,058,415"
Cast Away,"Adventure, Drama, Romance",Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,"$429,632,142"
Rampage,"Action, Adventure, Sci-Fi",Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Akerman,Jeffrey Dean Morgan,"$428,028,233"
The King's Speech,"Biography, Drama, History",Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,"$427,374,317"
The Matrix Revolutions,"Action, Sci-Fi",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"$427,344,325"
The Intouchables,"Biography, Comedy, Drama",Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,"$426,588,510"
Bad Boys for Life,"Action, Comedy, Crime",Adil El Arbi,Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,"$426,505,244"
Django Unchained,"Drama, Western",Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,"$426,074,373"
Beauty and the Beast,"Animation, Family, Fantasy",Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,"$424,967,620"
Dances with Wolves,"Adventure, Drama, Western",Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,"$424,208,848"
Wo he wo de jia xiang,Drama,Hao Ning,Sicheng Chen,Chao Deng,Da-Mo Peng,Ao Shen,"$422,390,820"
The Chronicles of Narnia: Prince Caspian,"Action, Adventure, Family",Andrew Adamson,Ben Barnes,Skandar Keynes,Georgie Henley,William Moseley,"$419,665,568"
Sex and the City,"Comedy, Drama, Romance",Michael Patrick King,Sarah Jessica Parker,Kim Cattrall,Cynthia Nixon,Kristin Davis,"$418,765,519"
Zhong guo ji zhang,"Action, Adventure, Drama",Andrew Lau,Hanyu Zhang,Hao Ou,Jiang Du,Quan Yuan,"$417,282,021"
The Mummy,"Action, Adventure, Fantasy",Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,"$415,933,406"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure, Family, Fantasy",Michael Apted,Ben Barnes,Skandar Keynes,Georgie Henley,Will Poulter,"$415,686,217"
Jason Bourne,"Action, Thriller",Paul Greengrass,Matt Damon,Tommy Lee Jones,Alicia Vikander,Vincent Cassel,"$415,484,914"
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"$415,261,382"
The Wolverine,"Action, Sci-Fi",James Mangold,Hugh Jackman,Will Yun Lee,Tao Okamoto,Rila Fukushima,"$414,828,246"
Kingsman: The Secret Service,"Action, Adventure, Comedy",Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,"$414,351,546"
Night at the Museum: Battle of the Smithsonian,"Adventure, Comedy, Family",Shawn Levy,Ben Stiller,Owen Wilson,Amy Adams,Hank Azaria,"$413,106,170"
Batman,"Action, Adventure",Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl,"$411,569,241"
The Bodyguard,"Action, Drama, Music",Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,Bill Cobbs,"$411,046,449"
Pacific Rim,"Action, Adventure, Sci-Fi",Guillermo del Toro,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,"$411,002,906"
Kingsman: The Golden Circle,"Action, Adventure, Comedy",Matthew Vaughn,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum,"$410,902,662"
The Mummy,"Action, Adventure, Fantasy",Alex Kurtzman,Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe,"$409,231,607"
Ice Age: Collision Course,"Animation, Adventure, Comedy",Michael Thurmeier,Galen T. Chu,Ray Romano,Denis Leary,John Leguizamo,"$408,754,975"
Twilight,"Drama, Fantasy, Romance",Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,Sarah Clarke,"$408,430,415"
Signs,"Drama, Mystery, Sci-Fi",M. Night Shyamalan,Mel Gibson,Joaquin Phoenix,Rory Culkin,Abigail Breslin,"$408,247,917"
X2,"Action, Sci-Fi, Thriller",Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen,"$407,711,549"
Sing 2,"Animation, Adventure, Comedy",Garth Jennings,Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Scarlett Johansson,"$407,562,651"
Fantastic Beasts: The Secrets of Dumbledore,"Adventure, Family, Fantasy",David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Dan Fogler,"$406,950,844"
The Wolf of Wall Street,"Biography, Comedy, Crime",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,"$406,878,233"
Alita: Battle Angel,"Action, Adventure, Sci-Fi",Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali,"$404,980,543"
The Mummy: Tomb of the Dragon Emperor,"Action, Adventure, Fantasy",Rob Cohen,Brendan Fraser,Jet Li,Maria Bello,Michelle Yeoh,"$403,449,830"
Prometheus,"Adventure, Mystery, Sci-Fi",Ridley Scott,Noomi Rapace,Logan Marshall-Green,Michael Fassbender,Charlize Theron,"$403,354,469"
Sonic the Hedgehog 2,"Action, Adventure, Comedy",Jeff Fowler,James Marsden,Jim Carrey,Ben Schwartz,Tika Sumpter,"$402,656,846"
Gone with the Wind,"Drama, Romance, War",Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,"$402,382,193"
Mamma Mia! Here We Go Again,"Comedy, Musical, Romance",Ol Parker,Lily James,Amanda Seyfried,Meryl Streep,Cher,"$402,264,843"
Eternals,"Action, Adventure, Fantasy",Chloé Zhao,Gemma Chan,Richard Madden,Angelina Jolie,Salma Hayek,"$402,064,899"
Dune: Part One,"Action, Adventure, Drama",Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,"$402,027,830"
Uncharted,"Action, Adventure",Ruben Fleischer,Tom Holland,Mark Wahlberg,Antonio Banderas,Sophia Ali,"$401,748,820"
Tron,"Action, Adventure, Sci-Fi",Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,"$400,063,852"
Mission: Impossible III,"Action, Adventure, Thriller",J.J. Abrams,Tom Cruise,Michelle Monaghan,Ving Rhames,Philip Seymour Hoffman,"$398,479,497"
Snow White and the Huntsman,"Action, Adventure, Drama",Rupert Sanders,Kristen Stewart,Chris Hemsworth,Charlize Theron,Sam Claflin,"$396,592,829"
Grease,"Comedy, Musical, Romance",Randal Kleiser,John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,"$396,271,103"
Toy Story,"Animation, Adventure, Comedy",John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,"$394,436,586"
Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,"$392,924,807"
Black Adam,"Action, Adventure, Fantasy",Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Pierce Brosnan,Noah Centineo,"$392,913,058"
Superman Returns,"Action, Adventure, Sci-Fi",Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,"$391,081,192"
Robin Hood: Prince of Thieves,"Action, Adventure, Drama",Kevin Reynolds,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,"$390,493,908"
Raiders of the Lost Ark,"Action, Adventure",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"$389,925,971"
Independence Day: Resurgence,"Action, Adventure, Sci-Fi",Roland Emmerich,Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,"$389,681,935"
Live Free or Die Hard,"Action, Thriller",Len Wiseman,Bruce Willis,Justin Long,Timothy Olyphant,Maggie Q,"$388,156,011"
Zhuo yao ji,"Adventure, Comedy, Fantasy",Raman Hui,Baihe Bai,Boran Jing,Wu Jiang,Elaine Jin,"$387,053,506"
Godzilla: King of the Monsters,"Action, Adventure, Fantasy",Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Ken Watanabe,"$386,600,138"
Home,"Animation, Adventure, Comedy",Tim Johnson,Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,"$386,041,607"
Star Trek,"Action, Adventure, Sci-Fi",J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,"$385,680,446"
1917,"Action, Drama, War",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,"$384,577,421"
Happy Feet,"Animation, Adventure, Comedy",George Miller,Warren Coleman,Judy Morris,Elijah Wood,Brittany Murphy,"$384,336,108"
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,"$384,256,930"
Cars 3,"Animation, Adventure, Comedy",Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion,"$383,930,656"
Back to the Future,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,"$383,336,762"
Ice Age,"Animation, Adventure, Comedy",Chris Wedge,Carlos Saldanha,Denis Leary,John Leguizamo,Ray Romano,"$383,257,136"
Kimi no na wa.,"Animation, Drama, Fantasy",Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,"$382,238,181"
Fifty Shades Darker,"Drama, Romance, Thriller",James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford,"$381,545,846"
Monsters vs. Aliens,"Animation, Action, Adventure",Rob Letterman,Conrad Vernon,Reese Witherspoon,Rainn Wilson,Stephen Colbert,"$381,509,870"
Black Widow,"Action, Adventure, Sci-Fi",Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,Rachel Weisz,"$379,751,655"
Godzilla,"Action, Sci-Fi, Thriller",Roland Emmerich,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria,"$379,014,294"
True Lies,"Action, Comedy, Thriller",James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,"$378,882,411"
Slumdog Millionaire,"Crime, Drama, Romance",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,"$378,410,542"
Once Upon a Time in Hollywood,"Comedy, Drama",Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch,"$377,617,598"
Taken 2,"Action, Crime, Thriller",Olivier Megaton,Liam Neeson,Famke Janssen,Maggie Grace,Leland Orser,"$376,152,455"
G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",Jon M. Chu,Dwayne Johnson,Channing Tatum,Adrianne Palicki,Lee Byung-hun,"$375,740,705"
Shark Tale,"Animation, Adventure, Comedy",Bibo Bergeron,Vicky Jenson,Rob Letterman,Will Smith,Robert De Niro,"$374,583,879"
What Women Want,"Comedy, Fantasy, Romance",Nancy Meyers,Mel Gibson,Helen Hunt,Marisa Tomei,Alan Alda,"$374,111,707"
The Adventures of Tintin,"Animation, Action, Adventure",Steven Spielberg,Jamie Bell,Andy Serkis,Daniel Craig,Simon Pegg,"$373,993,951"
Batman Begins,"Action, Crime, Drama",Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,"$373,672,993"
Penguins of Madagascar,"Animation, Adventure, Comedy",Eric Darnell,Simon J. Smith,Tom McGrath,Chris Miller,Christopher Knights,"$373,515,621"
X-Men Origins: Wolverine,"Action, Sci-Fi",Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston,"$373,062,864"
The Golden Compass,"Adventure, Family, Fantasy",Chris Weitz,Nicole Kidman,Daniel Craig,Dakota Blue Richards,Ben Walker,"$372,234,864"
Fifty Shades Freed,"Drama, Romance, Thriller",James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford,"$371,985,018"
Hitch,"Comedy, Romance",Andy Tennant,Will Smith,Eva Mendes,Kevin James,Amber Valletta,"$371,594,210"
Terminator Salvation,"Action, Adventure, Sci-Fi",McG,Christian Bale,Sam Worthington,Anton Yelchin,Moon Bloodgood,"$371,353,001"
Captain America: The First Avenger,"Action, Adventure, Sci-Fi",Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,"$370,569,774"
Edge of Tomorrow,"Action, Adventure, Sci-Fi",Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,"$370,541,256"
There's Something About Mary,"Comedy, Romance",Bobby Farrelly,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller,"$369,884,651"
Gone Girl,"Drama, Mystery, Thriller",David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,"$369,330,363"
The Fugitive,"Action, Crime, Drama",Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,"$368,875,760"
Jurassic Park III,"Action, Adventure, Sci-Fi",Joe Johnston,Sam Neill,William H. Macy,Téa Leoni,Alessandro Nivola,"$368,780,809"
My Big Fat Greek Wedding,"Comedy, Drama, Romance",Joel Zwick,Nia Vardalos,John Corbett,Michael Constantine,Christina Eleusiniotis,"$368,744,044"
Xi hong shi shou fu,Comedy,Da-Mo Peng,Fei Yan,Teng Shen,Vivian Sung,Lun Ai,"$366,961,907"
Die Hard with a Vengeance,"Action, Adventure, Thriller",John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,"$366,101,666"
Shazam!,"Action, Adventure, Comedy",David F. Sandberg,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,"$366,080,049"
The Nun,"Horror, Mystery, Thriller",Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Bonnie Aarons,"$365,582,797"
Alvin and the Chipmunks,"Animation, Adventure, Comedy",Tim Hill,Jason Lee,Ross Bagdasarian Jr.,Janice Karman,David Cross,"$365,352,546"
Tenet,"Action, Sci-Fi, Thriller",Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Juhan Ulfsak,"$365,304,105"
Notting Hill,"Comedy, Drama, Romance",Roger Michell,Hugh Grant,Julia Roberts,Richard McCabe,Rhys Ifans,"$363,889,678"
A Bug's Life,"Animation, Adventure, Comedy",John Lasseter,Andrew Stanton,Kevin Spacey,David Foley,Julia Louis-Dreyfus,"$363,258,859"
Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Family",Shawn Levy,Ben Stiller,Robin Williams,Owen Wilson,Dick Van Dyke,"$363,204,635"
Ocean's Twelve,"Crime, Thriller",Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Catherine Zeta-Jones,"$362,744,280"
Planet of the Apes,"Action, Adventure, Sci-Fi",Tim Burton,Mark Wahlberg,Helena Bonham Carter,Tim Roth,Michael Clarke Duncan,"$362,211,740"
The Hangover Part III,"Comedy, Crime",Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,"$362,000,072"
The World Is Not Enough,"Action, Adventure, Thriller",Michael Apted,Pierce Brosnan,Sophie Marceau,Robert Carlyle,Denise Richards,"$361,832,400"
Zhuo yao ji 2,"Adventure, Comedy, Fantasy",Raman Hui,Tony Chiu-Wai Leung,Baihe Bai,Boran Jing,Yuchun Li,"$361,682,618"
Fast & Furious,"Action, Crime, Thriller",Justin Lin,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,"$360,366,870"
Noah,"Action, Adventure, Drama",Darren Aronofsky,Russell Crowe,Jennifer Connelly,Anthony Hopkins,Emma Watson,"$359,200,044"
The Karate Kid,"Action, Drama, Family",Harald Zwart,Jackie Chan,Jaden Smith,Taraji P. Henson,Wenwen Han,"$359,126,022"
Home Alone 2: Lost in New York,"Adventure, Comedy, Crime",Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,"$358,994,850"
Hotel Transylvania,"Animation, Adventure, Comedy",Genndy Tartakovsky,Adam Sandler,Kevin James,Andy Samberg,Selena Gomez,"$358,375,603"
Minority Report,"Action, Crime, Mystery",Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,"$358,372,926"
Top Gun,"Action, Drama",Tony Scott,Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer,"$357,288,178"
The Legend of Tarzan,"Action, Adventure, Drama",David Yates,Alexander Skarsgård,Rory J Saper,Christian Stevens,Christoph Waltz,"$356,700,357"
American Beauty,Drama,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,"$356,296,601"
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,"$355,822,319"
Apollo 13,"Adventure, Drama, History",Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,"$355,237,933"
Rain Man,Drama,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,"$354,825,435"
The Great Gatsby,"Drama, Romance",Baz Luhrmann,Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,Tobey Maguire,"$353,659,851"
Dumbo,"Adventure, Family, Fantasy",Tim Burton,Colin Farrell,Michael Keaton,Danny DeVito,Eva Green,"$353,284,621"
"I, Robot","Action, Mystery, Sci-Fi",Alex Proyas,Will Smith,Bridget Moynahan,Bruce Greenwood,Alan Tudyk,"$353,133,898"
Basic Instinct,"Drama, Mystery, Thriller",Paul Verhoeven,Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,"$352,927,224"
Murder on the Orient Express,"Crime, Drama, Mystery",Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench,"$352,794,081"
X: First Class,"Action, Sci-Fi",Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,"$352,616,690"
Angry Birds,"Animation, Action, Adventure",Clay Kaytis,Fergal Reilly,Jason Sudeikis,Josh Gad,Danny McBride,"$352,333,929"
GoldenEye,"Action, Adventure, Thriller",Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,"$352,194,034"
Catch Me If You Can,"Biography, Crime, Drama",Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,"$352,114,312"
Now You See Me,"Crime, Mystery, Thriller",Louis Leterrier,Jesse Eisenberg,Common,Mark Ruffalo,Woody Harrelson,"$351,723,989"
Hannibal,"Crime, Drama, Thriller",Ridley Scott,Anthony Hopkins,Julianne Moore,Gary Oldman,Ray Liotta,"$351,692,268"
The Mask,"Action, Comedy, Crime",Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,"$351,583,407"
Peter Rabbit,"Adventure, Comedy, Crime",Will Gluck,James Corden,Fayssal Bazzi,Domhnall Gleeson,Sia,"$351,496,066"
Speed,"Action, Adventure, Thriller",Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,"$350,448,145"
Dinosaur,"Animation, Adventure, Drama",Eric Leighton,Ralph Zondag,D.B. Sweeney,Julianna Margulies,Samuel E. Wright,"$349,822,765"
Mary Poppins Returns,"Adventure, Comedy, Family",Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Emily Mortimer,"$349,546,142"
Deep Impact,"Action, Drama, Sci-Fi",Mimi Leder,Robert Duvall,Téa Leoni,Elijah Wood,Morgan Freeman,"$349,464,664"
The Lorax,"Animation, Adventure, Comedy",Chris Renaud,Kyle Balda,Zac Efron,Taylor Swift,Danny DeVito,"$349,183,316"
The Maze Runner,"Action, Mystery, Sci-Fi",Wes Ball,Dylan O'Brien,Kaya Scodelario,Will Poulter,Thomas Brodie-Sangster,"$348,319,861"
The Smurfs 2,"Animation, Adventure, Comedy",Raja Gosnell,Neil Patrick Harris,Jayma Mays,Katy Perry,Hank Azaria,"$347,545,360"
National Treasure,"Action, Adventure, Mystery",Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean,"$347,512,318"
Rush Hour 2,"Action, Comedy, Crime",Brett Ratner,Jackie Chan,Chris Tucker,John Lone,Ziyi Zhang,"$347,325,802"
Trolls,"Animation, Adventure, Comedy",Mike Mitchell,Walt Dohrn,Anna Kendrick,Justin Timberlake,Zooey Deschanel,"$347,182,886"
xXx: Return of Xander Cage,"Action, Adventure, Thriller",D.J. Caruso,Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu,"$346,118,277"
Pocahontas,"Animation, Adventure, Drama",Mike Gabriel,Eric Goldberg,Mel Gibson,Linda Hunt,Christian Bale,"$346,079,773"
How the Grinch Stole Christmas,"Comedy, Family, Fantasy",Ron Howard,Jim Carrey,Taylor Momsen,Kelley,Jeffrey Tambor,"$345,823,032"
Star Trek Beyond,"Action, Adventure, Sci-Fi",Justin Lin,Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,"$343,471,816"
Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy",Mike Mitchell,Justin Long,Matthew Gray Gubler,Jesse McCartney,Jason Lee,"$342,695,435"
Wanted,"Action, Crime, Thriller",Timur Bekmambetov,Angelina Jolie,James McAvoy,Morgan Freeman,Terence Stamp,"$342,463,063"
The Flintstones,"Comedy, Family, Fantasy",Brian Levant,John Goodman,Rick Moranis,Rosie O'Donnell,Halle Berry,"$341,631,208"
A Quiet Place,"Drama, Horror, Sci-Fi",John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,Noah Jupe,"$340,952,971"
Enchanted,"Animation, Adventure, Comedy",Kevin Lima,Amy Adams,Susan Sarandon,James Marsden,Patrick Dempsey,"$340,487,836"
Over the Hedge,"Animation, Adventure, Comedy",Tim Johnson,Karey Kirkpatrick,Bruce Willis,Garry Shandling,Steve Carell,"$339,795,890"
300: Rise of an Empire,"Action, Drama",Noam Murro,Sullivan Stapleton,Eva Green,Lena Headey,Hans Matheson,"$337,580,051"
Batman Forever,"Action, Adventure",Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,"$336,567,158"
Prince of Persia: The Sands of Time,"Action, Adventure, Fantasy",Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,"$336,365,676"
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,"$335,802,786"
Journey 2: The Mysterious Island,"Action, Adventure, Comedy",Brad Peyton,Josh Hutcherson,Dwayne Johnson,Michael Caine,Luis Guzmán,"$335,287,748"
The Rock,"Action, Adventure, Thriller",Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer,"$335,062,621"
The Great Wall,"Action, Adventure, Fantasy",Yimou Zhang,Matt Damon,Tian Jing,Willem Dafoe,Andy Lau,"$334,933,831"
Now You See Me 2,"Action, Adventure, Comedy",Jon M. Chu,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Dave Franco,"$334,897,606"
Xiu xiu de tie quan,"Comedy, Fantasy, Sport",Yang Song,Chiyu Zhang,Lun Ai,Yuan Chang,Haibao Gao,"$334,530,869"
Fantastic Four,"Action, Adventure, Fantasy",Tim Story,Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba,"$333,535,934"
Indiana Jones and the Temple of Doom,"Action, Adventure",Steven Spielberg,Harrison Ford,Kate Capshaw,Ke Huy Quan,Amrish Puri,"$333,107,271"
Tomorrow Never Dies,"Action, Adventure, Thriller",Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,"$333,011,068"
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Tom Wilson,"$332,500,002"
The Good Dinosaur,"Animation, Adventure, Comedy",Peter Sohn,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,Ryan Teeple,"$332,207,671"
Free Guy,"Action, Adventure, Comedy",Shawn Levy,Ryan Reynolds,Jodie Comer,Taika Waititi,Lil Rel Howery,"$331,526,598"
